course_number,course_contact,course_credits,course_description,course_hours,course_name,course_url,course_area
AHSE1515,"Neeley, Lawrence",4 AHSE,"Entrepreneur: one who owns and manages a business; a person who takes the risk of profit or loss. - O.E.D. The same source also reveals a broader definition found in the French root, entreprendre, which means ""to undertake."" An entrepreneur is defined as one who assumes the opportunity and full responsibility of any pursuit. A champion. 
In this course, students explore and begin to realize in themselves the entrepreneur in both forms: the practical and the profound. In this foundational course in business and entrepreneurship they will conceive, create and manage a real, profitable business. They will be exposed to traditional business tools such as accounting, marketing and finance as well as the personal and interpersonal tools requisite for high-performance teamwork, including project planning, giving feedback and persuasive pitching. This business experience and its associated challenges will serve as the context in which we hope to develop broader self-awareness, productive self-reflection and courage. Broadly, these skills will apply to the bold imagining and realization of their lives at Olin and beyond.",4-0-8,Products and Markets,http://www.olin.edu/course-listing/ahse1515-products-and-markets/,AHSE
AHSE1599,"Neeley, Lawrence",4 AHSE,Special Topics in Entrepreneurship classes (AHSE X599) typically cover a specific topic in Entrepreneurship and are intended to enhance and expand the selection of offerings from semester to semester.,4-0-8,Entrepreneurship Foundation Topic,http://www.olin.edu/course-listing/ahse1599-entrepreneurship-foundation-topic/,AHSE
AHSE2110,"Martello, Robert",4 AHSE,"The lion's share of our history of technology course features a series of readings, lectures, and discussions on the relationship between materials, science, society, and the environment in three historical periods. We start with the material practices and paradigms of Copper and Bronze Age societies, shift to Paul Revere's ""Revolutionary"" work with various metals and fabrication processes, and conclude with a look at the technologies and challenges of tomorrow. We will emphasize the development of three skills that are vital to our studies: contextual thinking, communication (both written and oral), and historical research methods pertaining to source evaluation and narrative construction.",4-0-8,"The Stuff of History: Materials, Culture in Ancient, Revolut'nary and Contemporary Times",http://www.olin.edu/course-listing/ahse2110-the-stuff-history-materials-culture-ancient-revolutnary-and-contemporary-0/,AHSE
AHSE2112,"Martello, Robert",2 AHSE,"Why and how do certain books reshape the course of human history? In this course, we will explore six books, selected from different times, societies, and genres, that have had an unquestionably major impact upon the world in which we live. Class meetings will alternate between contextual studies of the historical context of each book (including the author's background, the political and social setting, and other factors) and careful analyses of the works themselves. Our discussions will investigate each book's contemporary and modern impact while also exploring the qualities that caused all of our selections to have such an enduring and global effect. Students will be expected to contribute to class discussions, make presentations, and write a report on an additional book of their choosing. NOTE: this course will be offered during the first half of the semester, will meet twice a week, and will require approximately 12 hours of student effort each week.",4-0-8,Six Books that Changed the World,http://www.olin.edu/course-listing/ahse2112-six-books-changed-the-world/,AHSE
AHSE2114,"Martello, Robert",2 AHSE,"Science fiction is a wonderful genre that somehow captures a society's ideals, fears, assumptions, and major challenges. In the same way that a historian attempts to piece together complex cause-effect chains to make sense of the past, science fiction writers project the values, technologies, and beliefs of their own societies into alternate or future realities. Our class will work together to understand the conventions of science fiction and explore science fiction works (books, short stories, film) produced in different times, across various cultures, and in different sub-genres of this field.
Students will have the opportunity to analyze different works of science fiction through writings and class discussions, and can also choose to develop a science fiction idea of their own. NOTE: this course will be offered during the second half of the semester, will meet twice a week, and will require approximately 12 hours of student effort each week.",4-0-8,Science Fiction and Historical Context,http://www.olin.edu/course-listing/ahse2114-science-fiction-and-historical-context/,AHSE
AHSE2125,"Dabby, Diana",2 AHSE,"The Engineer's Orchestra II provides just-in-time harmonic and contrapuntal theory for the study of orchestration, with special attention to voice leading, instrumental doubling, spacing, balance, and color. Each week students complete preliminary exercises that target the skills necessary for that week's focus of study. They then orchestrate piano reductions of symphonic excerpts, and vice versa, in order to apply these developing skills. The course progresses from scoring for string, woodwind, and brass ensembles to woodwind-string and woodwind-brass-string combinations, and finally the full orchestra. Class discussions involve students defending their technical and artistic decisions, followed by close examination of the choices made by the original composer. Weekly recorded examples bring to life the fundamental concepts underlying the work of past and contemporary orchestrators. Guest appearances/demonstrations by instrumentalists allow students to sharpen their listening skills as they distinguish among the possibilities for bowings and articulations that inform orchestral writing. The course culminates with each student pursuing a final project, such as an original composition or arrangement.",4-0-8,"The Engineer's Orchestra II: Theory, Orchestration, Composition",http://www.olin.edu/course-listing/ahse2125-the-engineers-orchestra-ii-theory-orchestration-composition/,AHSE
AHSE2130,"Donis-Keller, Helen",4 AHSE,"Science and Art are often considered entirely different worlds inhabited by practitioners who have nothing in common. In this course, we will debunk this myth by closely examining the discovery process in both disciplines and by comparing the culture of science to that of art, historically and in the present. We will consider the influence of scientific discoveries, from optics to ""new media"" on the production of art and discuss the corollary question ""Has art influenced the progress of science?"" We will also consider ways in which science allows us to understand artists and the work they create. In contemporary society, artists have begun to comment on science, sometimes with disastrous results, which leads us to ask, ""What is needed in order to establish a meaningful dialogue between scientists and artists, and does it matter?""",4-0-8,The Intersection of Art and Science,http://www.olin.edu/course-listing/ahse2130-the-intersection-art-and-science/,AHSE
AHSE2131,"Donis-Keller, Helen",4 AHSE,"The course assumes no prior experience in drawing. Students will learn to visualize objects in three-dimensional space and commit them to the two-dimensional space of a page, gaining critical experience with ""idea sketching,"" an ability that can be put to many uses in future courses (e.g. project design). Students will also draw subjects from life, i.e. stationary objects and life models using media including charcoal, graphite, conte, and ink. The emphasis will be realistic depiction as compared to non-objective abstraction. Students will begin with basic exercises in drawing and rapidly move to more complex intensive drawing experiences. Approximately one-third of the classroom time will be used for drawing from a life model. Class discussion and sketchbook homework assignments will be an essential element in the learning process. Homework assignments will include drawing and visual thinking exercises to be completed in personal sketchbooks. Reading selected text material is also part of the homework requirement. Several invited speakers will contribute to the course and provide informal critiques of student work. One field trip is planned to the Fogg Art Museum at Harvard University in Cambridge to view art. Other in-class activities will include participation in discussion of drawings (old master and contemporary) that are presented to illustrate various objectives of classroom work (e.g. use of line to indicate form) and group critique sessions. Assessment will be based on weekly homework assignments, classroom work, and three drawing projects to be completed outside of class.",4-0-8,Responsive Drawing and Visual Thinking,http://www.olin.edu/course-listing/ahse2131-responsive-drawing-and-visual-thinking/,AHSE
AHSE2140,"Lynch, Caitrin",4 AHSE,"Anthropological theories and methods help us understand human behavior and values. Broadly speaking, anthropologists ask, ""Why do people do what they do and believe what they believe?""  Today, anthropologists study a wide range of contemporary social issues, such as international development, garment manufacturing, the production of scientific knowledge, female ""circumcision,"" and intellectual property. In this course, we will read about, debate, and discuss these and other issues in order to probe into the meanings of culture, knowledge, and creativity.
o What do anthropologists mean by culture?
o What does it mean to take cultural difference seriously?
o Does culture have an influence on what is considered legitimate ""knowledge""?
o If knowledge is ""situated,"" what happens when one form of knowledge comes in contact with another (for instance in discussions of global human rights)?
o What is the relationship between cultural difference, situated knowledge, and human creativity?
o Does globalization threaten to destroy creativity, stifle innovation, and erase difference?
After we learn how anthropologists deal with these questions at a range of research sites, we will end the course with our own anthropological studies that utilize what we have learned earlier in the course. Students will conduct short research projects that examine social issues pertaining to the use of the Internet in the United States. By ending with a study of ourselves, students will see how creative we really are; that we, too, have culture; and that what we consider legitimate knowledge is culturally situated. The professor will assume no prior knowledge of anthropology. Skills to be developed include critical reading, critical thinking, writing and analysis, presenting arguments in oral and visual form, and working on projects in small groups. The following texts will be used, among others: Jean Davison, Voices from Mutira: Change in the Lives of Gikuyu Women, Daniel Miller and Don Slater, The Internet: An Ethnographic Approach, Jeremy MacClancy, Exotic No More: Anthropology on the Front Lines.",4-0-8,"Anthropology: Culture, Knowledge and Creativity",http://www.olin.edu/course-listing/ahse2140-anthropology-culture-knowledge-and-creativity/,AHSE
AHSE2141,"Lynch, Caitrin; Ben-Ur, Ela",2 AHSE,"This course introduces students to engineering problem solving, beginning with understanding client needs and ending with implemented, adaptable, adoptable, and sustainable solutions.  This course will draw equally on empathetic and ethnographic methods and on a technical understanding of the problem and solution domains. Over the semester, we will learn about and with our clients; we will identify specific challenges that our clients face; and together with our clients we will develop concrete solutions to address these challenges.  Students will leave Engineering for Humanity with a grounded understanding of the engineering problem solving process, experience in participant-observer fieldwork, and hopefully a feeling of satisfaction at having made a concrete difference in the lives of members of our community.  
The projects will be specific service projects that students identify and design while working with senior citizens in surrounding communities. For example, students might design a device to help someone who has difficulty reaching up to change a light bulb, something to help hold a newspaper steady with shaky hands, or something to enable someone to get clothes out of a clothing dryer that is difficult to stoop down to reach. Some sessions of the course will be devoted to co-design with the client population or to team meetings. Other sessions involving guest speakers and fieldtrips, others with course discussion of topics relevant to aging. Students must simultaneously enroll in AHSE2141 and ENGR2141 for a total of 4 credit hours.",6-0-6,Engineering for Humanity,http://www.olin.edu/course-listing/ahse2141-engineering-humanity/,AHSE
AHSE2150,"Martello, Robert; Huang, Jean",4 AHSE,,,Six Microbes that Changed the World with Laboratory,http://www.olin.edu/course-listing/ahse2150-six-microbes-changed-the-world-laboratory/,AHSE
AHSE2170,"Zastavker, Yevgeniya",4 AHSE,"This course will examine select topics in teaching and learning in undergraduate science, technology, engineering, and mathematics (STEM) courses. The goal of the course is to help participants become effective tutors, teaching assistants, mentors, and future instructors in these fields through a deep examination of teaching and learning in STEM courses. In a seminar format, participants will discuss research on best practices in pedagogy and curriculum design, cognition and learning, student classroom experiences, diversity, and assessment. Students will gain experience in instructional design, pedagogy, and assessment, and will develop a teaching portfolio. (Note: While the course readings are largely on research in science and engineering education, the course will touch on issues in mathematics education, and many course concepts can be extended to mathematics and technology instruction. As well, the theoretical and practical portion of the class may be extended to the K-12 domain.)",3-0-9,Teaching and Learning in Undergraduate Science and Engineering,http://www.olin.edu/course-listing/ahse2170-teaching-and-learning-undergraduate-science-and-engineering/,AHSE
